SO #,Customer,Date Issued,Date Completed,SO Status,SO Tax,Part Number,Alias Number,Qty Ordered,Unit Price
058882,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A0355,,1,
058882,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,B0355,,1,
058882,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,D0355,,1,
058887,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,D0120,SD0120,1,
058889,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A0331/B0331,SA0331/B0331,1,
058890,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A1043,,1,
058890,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,B1043,,1,
058891,MN Global LLC,03/31/2021,03/31/2021,Complete,,A0400,,1,
058891,MN Global LLC,03/31/2021,03/31/2021,Complete,,B0400,,1,
058892,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A0400,,1,
058892,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,B0400,,1,
058903,MN Global LLC,03/31/2021,03/31/2021,Complete,,A0270,,1,
058903,MN Global LLC,03/31/2021,03/31/2021,Complete,,B0270,,1,
058903,MN Global LLC,03/31/2021,03/31/2021,Complete,,D0431,,1,
058907,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,D0128,SD0128,1,
058916,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A0312,,1,
058916,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,B0312,,1,
058917,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,B0350,SB0350,1,
058918,MN Global LLC,03/31/2021,03/31/2021,Complete,,A0270,,1,
058918,MN Global LLC,03/31/2021,03/31/2021,Complete,,B0270,,1,
058919,MN Global LLC,03/31/2021,03/31/2021,Complete,,A0401,,1,
058919,MN Global LLC,03/31/2021,03/31/2021,Complete,,B0400,,1,
058920,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,B0400,,1,
058920,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A0400,,1,
058921,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,B0071,,1,
058921,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,E0113,,1,
058921,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,C0071,,1,
058921,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A0315,,1,
058922,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A1103,,1,
058922,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,B1103,,1,
058923,MN Global LLC,03/31/2021,03/31/2021,Complete,,A0400,,1,
058923,MN Global LLC,03/31/2021,03/31/2021,Complete,,B0400,,1,
058925,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,A0119,,1,
058925,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,B0070,,1,
058927,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,E0232,SE0232,1,
058928,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,A0136,,1,
058928,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,B0159,,1,
058928,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,E0159,,1,
058929,Auto Anything,03/31/2021,03/31/2021,Complete,0.0,A0340,,1,
058930,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,A0301,,1,
058930,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,B0301,,1,
058930,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,D0301,,1,
058931,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,A0136/B0136,,1,
058932,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,E0478,,1,
058933,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,C0351,,1,
058933,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,B0351,,1,
058933,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,A0350,,1,
058934,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,A0418,,1,
058934,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,B0418,,1,
058935,Onyx Enterprises Inc.,03/31/2021,03/31/2021,Complete,0.0,A0328,,1,
058936,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,0.0,D0192,,1,
058937,Onyx Enterprises Inc.,03/31/2021,03/31/2021,Complete,0.0,B0467,,1,
058937,Onyx Enterprises Inc.,03/31/2021,03/31/2021,Complete,0.0,A0467,,1,
058939,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A0151,SA0151,1,
058940,MN Global LLC,03/31/2021,03/31/2021,Complete,,A0150,SA0150,1,
058941,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,,B0227,,1,
058942,MN Global LLC,03/31/2021,03/31/2021,Complete,0.0,A0167,,1,
