SO #,Customer,Date Issued,Date Completed,SO Status,SO Tax,Part Number,Alias Number,Qty Ordered,Unit Price
058882,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A0355,,1,($39.90)
058882,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B0355,,1,($29.28)
058882,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,D0355,,1,($44.46)
058887,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,D0120,SD0120,1,($44.47)
058889,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A0331/B0331,SA0331/B0331,1,($95.52)
058890,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A1043,,1,($37.05)
058890,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B1043,,1,($27.18)
058891,MN Global LLC,03/31/2021,03/31/2021,Complete,($3.67),A0400,,1,($37.23)
058891,MN Global LLC,03/31/2021,03/31/2021,Complete,($3.67),B0400,,1,($31.94)
058892,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A0400,,1,($37.23)
058892,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B0400,,1,($31.94)
058903,MN Global LLC,03/31/2021,03/31/2021,Complete,($6.25),A0270,,1,($39.90)
058903,MN Global LLC,03/31/2021,03/31/2021,Complete,($6.25),B0270,,1,($29.28)
058903,MN Global LLC,03/31/2021,03/31/2021,Complete,($6.25),D0431,,1,($44.46)
058907,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,D0128,SD0128,1,($44.47)
058916,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A0312,,1,($37.05)
058916,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B0312,,1,($27.18)
058917,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B0350,SB0350,1,($41.63)
058918,MN Global LLC,03/31/2021,03/31/2021,Complete,($7.87),A0270,,1,($51.16)
058918,MN Global LLC,03/31/2021,03/31/2021,Complete,($7.87),B0270,,1,($37.54)
058919,MN Global LLC,03/31/2021,03/31/2021,Complete,($5.02),A0401,,1,($49.41)
058919,MN Global LLC,03/31/2021,03/31/2021,Complete,($5.02),B0400,,1,($34.22)
058920,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B0400,,1,($31.94)
058920,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A0400,,1,($37.23)
058921,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B0071,,1,($29.28)
058921,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,E0113,,1,($44.47)
058921,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,C0071,,1,($29.81)
058921,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A0315,,1,($39.89)
058922,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A1103,,1,($55.09)
058922,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B1103,,1,($57.49)
058923,MN Global LLC,03/31/2021,03/31/2021,Complete,($4.32),A0400,,1,($37.23)
058923,MN Global LLC,03/31/2021,03/31/2021,Complete,($4.32),B0400,,1,($31.94)
058925,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,A0119,,1,($47.50)
058925,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,B0070,,1,($34.85)
058927,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,E0232,SE0232,1,($61.40)
058928,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,A0136,,1,($47.49)
058928,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,B0159,,1,($49.56)
058928,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,E0159,,1,($52.94)
058929,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0340,,1,($42.75)
058930,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,A0301,,1,($47.49)
058930,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,B0301,,1,($34.85)
058930,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,D0301,,1,($52.94)
058931,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,A0136/B0136,,1,($82.35)
058932,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,E0478,,1,($52.94)
058933,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,C0351,,1,($30.50)
058933,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,B0351,,1,($34.85)
058933,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,A0350,,1,($47.50)
058934,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,A0418,,1,($44.10)
058934,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,B0418,,1,($32.37)
058935,Onyx Enterprises Inc.,03/31/2021,03/31/2021,Complete,$0.00,A0328,,1,($46.26)
058936,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,$0.00,D0192,,1,($52.94)
058937,Onyx Enterprises Inc.,03/31/2021,03/31/2021,Complete,$0.00,B0467,,1,($31.52)
058937,Onyx Enterprises Inc.,03/31/2021,03/31/2021,Complete,$0.00,A0467,,1,($42.96)
058939,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A0151,SA0151,1,($55.09)
058940,MN Global LLC,03/31/2021,03/31/2021,Complete,($4.27),A0150,SA0150,1,($55.09)
058941,Auto Accessories Garage,03/31/2021,03/31/2021,Complete,($2.44),B0227,,1,($34.85)
058942,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,A0167,,1,($51.42)
058942,MN Global LLC,03/31/2021,03/31/2021,Complete,$0.00,B0167,,1,($44.10)
059913,Auto Accessories Garage,04/01/2021,04/01/2021,Complete,$0.00,E0159,SE0159,1,($52.94)
11122468,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0411/B0411,,1,$74.11
11122468,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$12.00
11122781,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,D0431,,1,$47.64
11122781,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$15.00
11123060,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0289,,1,$42.75
11123060,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$12.00
11123326,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0164/B0164,,1,$74.11
11123326,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$12.00
11124072,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0022/B0041,,1,$74.11
11124072,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$12.00
11124427,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,D0423,,1,$47.64
11124427,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$15.00
11124517,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0019/B0019,,1,$74.11
11124517,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$12.00
11125275,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0226,,1,$52.94
11125275,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$12.00
11125662,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0126/B0048,,1,$74.11
11125662,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$12.00
11125772,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,A0121,,1,$42.75
11125772,Auto Anything,03/31/2021,03/31/2021,Complete,$0.00,Shipping,,1,$12.00
11125991,Auto Anything,04/01/2021,04/01/2021,Complete,$0.00,A0226/B0148,,1,$89.60
